[0.00s -> 38.03s]  Девочка
[59.41s -> 64.41s]  Так хочется и хочется жить так, как те самые
[64.41s -> 68.41s]  С экранов так же весело, чтоб знали все
[68.41s -> 74.41s]  Что у нее есть тоже наблюдатели с той знаменны
[74.41s -> 80.41s]  Но детский взгляд еще и вроде не маленькая, но прячется
[80.41s -> 84.41s]  Зачем сама не знает, стесняется
[84.41s -> 90.10s]  И быстро так домой возвращается
[90.10s -> 94.10s]  Ты скажи, куда бежишь, куда едешь
[94.10s -> 98.10s]  Ты на метро в ночном такси, куда ты спешишь
[98.10s -> 104.10s]  Где-то там внутри тебя знает, ты стучит, чего хочешь ты
[104.10s -> 109.61s]  Ты скажи, куда бежишь, куда едешь
[109.61s -> 113.91s]  Ты на метро в ночном такси, куда ты спешишь
[113.91s -> 119.61s]  Где-то там внутри тебя знаешь точно, ты чего хочешь
[119.61s -> 121.61s]  Но ты молчишь.
[123.61s -> 143.22s]  Оставай висы в бокале кристалл,
[144.22s -> 147.22s]  И вроде привыкла зону с детьми
[148.22s -> 150.22s]  К обычному ночному циклу
[151.22s -> 153.22s]  От цицны на свете.
[156.22s -> 159.22s]  Вокруг одним отеля и мебель
[160.22s -> 162.22s]  И странная вода, как музей.
[163.22s -> 165.22s]  Интересно,
[165.22s -> 167.22s]  Но трогать можно,
[168.22s -> 170.22s]  Если честно, прелестно.
[171.22s -> 173.22s]  Но утро странное, где телефон?
[174.22s -> 176.22s]  Звони у мамы,
[177.22s -> 179.22s]  Как ей рассказать сейчас, какая ты?
[180.22s -> 183.22s]  И с кем так не хотелось бы то, что ты?
[184.22s -> 186.22s]  Ну что же ты?
[187.22s -> 189.22s]  Подъезд в руках и туфли,
[190.22s -> 192.22s]  Она опять растворяется,
[192.22s -> 195.22s]  Среди машин людей поделится,
[196.22s -> 199.22s]  И когда совсем этим останется
[200.22s -> 201.22s]  Справится.
[202.22s -> 204.22s]  И скажи, куда бежишь?
[205.22s -> 208.22s]  Куда едешь ты на метро в ночном такси?
[209.22s -> 210.22s]  Куда ты спешишь?
[210.22s -> 212.22s]  Детон там внутри тебя
[213.22s -> 215.22s]  Знает и стучит, чего хочешь ты.
[218.22s -> 220.22s]  И скажи, куда бежишь?
[220.22s -> 224.22s]  Куда едешь ты на метро в ночном такси?
[225.22s -> 226.22s]  Куда ты спешишь?
[227.22s -> 228.22s]  Детон там внутри тебя
[229.22s -> 231.22s]  Знает и стучит, чего хочешь ты.
[232.22s -> 234.22s]  Но ты мучаешь.
[238.22s -> 240.22s]  Но ты мучаешь.
[246.22s -> 248.22s]  Но ты мучаешь.
[250.22s -> 252.22s]  Но ты мучаешь.
[333.97s -> 335.97s]  Который где-то в тени
[336.97s -> 337.97s]  И тот, который в свет
[338.97s -> 340.97s]  И вот уметь их соединять воедино
[341.97s -> 343.97s]  И делиться с таким собой
[344.97s -> 345.97s]  И этим миром и окружающими
[345.97s -> 346.97s]  Это дар.
[346.97s -> 348.97s]  Магия, ух ты.
[349.97s -> 350.97s]  Музыка это вообще такая вещь.
[351.97s -> 352.97s]  То есть ее нет нигде.
[353.97s -> 354.97s]  Я, когда отсужусь за фортепиано,
[355.97s -> 357.97s]  Ничего нет уже, нет ни нот.
[358.97s -> 359.97s]  И вдруг откуда-то начинается звучать в голове.
