[0.00s -> 0.76s]  Алдов рэпером
[0.76s -> 2.52s]  Просто пошел в NAVI покатать пацанам
[2.52s -> 3.60s]  Валерий Леонтьев
[3.60s -> 5.16s]  7-1, это 6
[5.16s -> 6.48s]  Ах ты, ах ты козел
[6.48s -> 7.96s]  Я не знаю, как это комментировать
[7.96s -> 9.04s]  Я устал сосать
[9.04s -> 10.16s]  Сюда!
[10.16s -> 10.64s]  Сюда!
[10.64s -> 11.36s]  Ух, ***
[11.36s -> 12.96s]  На креативе и бешеном микро
[12.96s -> 14.60s]  Я так просто не сдамся, *****
[14.60s -> 16.04s]  НОСИЯ, *****!
[21.76s -> 23.40s]  Всем привет, я Маша Марку
[23.40s -> 24.68s]  Это ПВП-шоу
[24.68s -> 27.08s]  Один банк, два игрока и видеоигры
[27.08s -> 28.76s]  И сегодня у нас в гостях
[28.80s -> 30.40s]  Мэл Шторм и Кристал Мэй
[30.40s -> 34.36s]  Комментаторы, аналитики, киберспортивные эксперты
[34.36s -> 35.12s]  И ведущие
[35.12s -> 36.92s]  Ну в общем, очень много у вас регалей
[36.92s -> 37.24s]  Привет
[37.24s -> 38.48s]  Мастера на все руки
[38.48s -> 39.24s]  Привет, Маша
[39.24s -> 40.24s]  Привет, привет
[57.99s -> 62.47s]  Парни, было бы странно, если бы тут собралось три человека, которые непосредственно отношения имеют киберспорту
[62.47s -> 66.47s]  И мы бы не начали этот выпуск с обсуждения победы спиритов на Инте
[70.66s -> 71.70s]  Опять обсуждаем?
[71.70s -> 72.26s]  Да
[72.26s -> 72.90s]  Сколько лет?
[72.90s -> 73.58s]  Снова?
[73.58s -> 74.86s]  Все еще обсуждаем
[74.90s -> 78.74s]  Можно сказать, что после этого наш регион самый сильный?
[78.74s -> 80.02s]  Мммм...
[80.02s -> 82.26s]  Ну, наверное, сейчас вообще получается, да
[82.26s -> 84.46s]  По одной причине, потому что спирит
[84.46s -> 88.18s]  Очень круто играют относительно и Европы, и всех остальных регионов
[88.18s -> 90.06s]  А все остальные команды
[90.06s -> 91.26s]  Им завидуют
[91.26s -> 93.66s]  Переживают какой-то период перестройки, что ли
[93.66s -> 96.54s]  Очень забавно, потому что самая сильная команда вроде в нашем регионе
[96.54s -> 100.02s]  Но именно из-за нее все начали полностью все решаффлить и изменять
[100.02s -> 101.62s]  И из-за этого все очень слабые стали
