[0.24s -> 2.24s]  Что, пишем?
[2.24s -> 4.24s]  Так, значит, всем здравия желаю!
[4.24s -> 6.24s]  Кулинарно-раболовная разыскная
[6.24s -> 8.24s]  приготовительная бригада прибыла
[8.24s -> 10.24s]  на Константинский пруд сегодня
[10.24s -> 12.24s]  Сержант
[12.24s -> 14.24s]  Сержант Щуков
[14.24s -> 16.24s]  и генерал Тарелкин
[16.24s -> 18.24s]  Опасные рецидивисты, именуемые
[18.24s -> 20.24s]  в рыболовных кругах как Щуков
[20.24s -> 22.24s]  и Тарелкин снова вернулись на водоем
[22.24s -> 24.24s]  Особые приметы Щукова
[24.24s -> 26.24s]  Рост 178 сантиметров
[26.24s -> 28.24s]  Борода, милая улыбка
[28.24s -> 30.24s]  Желание достать всех Щуков
[30.24s -> 32.24s]  из водоема
[32.24s -> 34.24s]  Особые приметы Тарелкина
[34.24s -> 36.24s]  Огромный рост, огромный рот
[36.24s -> 38.24s]  Огромное желание покушать и накормить
[38.24s -> 40.24s]  И куртка, украденная у заправщиков
[40.24s -> 42.24s]  На предыдущем слайде
[42.24s -> 44.24s]  были показаны тайные записи
[44.24s -> 46.24s]  Тарелкина, которые помогают
[46.24s -> 48.24s]  понять его намерения
[48.24s -> 50.24s]  на этой рыбалке
[50.24s -> 52.24s]  Уважаемые рыболовы, будьте бдительны
[52.24s -> 54.24s]  и держитесь от них подальше
[54.24s -> 56.24s]  Прибыли на пруд, собственно
[56.24s -> 58.24s]  И есть все
[58.24s -> 60.24s]  Что и требовалось доказать
[64.24s -> 66.24s]  Должно было ехать на другую рыбалку
[66.24s -> 68.24s]  Но вчера резко поменяли планы
[70.24s -> 72.24s]  Сегодня мы приехали на Константиновский пруд
[72.24s -> 74.24s]  Где
[74.24s -> 76.24s]  Сегодня салдаут
[76.24s -> 78.24s]  Ажиотаж
[78.24s -> 80.24s]  На парковке машина 20
[80.24s -> 82.24s]  На пруду рыбаков штук 40
[82.24s -> 84.24s]  Поэтому мы быстро идем
[84.24s -> 86.24s]  Подставлять жерлицы
[88.24s -> 90.24s]  Вообще не успели ничего сделать
[90.24s -> 92.24s]  Вышли из машины, сразу пошли
[92.24s -> 94.24s]  Что будет дальше, смотрите на видео
[108.69s -> 110.69s]  Нормально сегодня побегаем
[110.69s -> 112.69s]  Нормально, нормально, нормально
[112.69s -> 114.69s]  Сейчас рассвет будет
[120.90s -> 122.90s]  Да, че, поставил уже
[122.90s -> 124.90s]  Вот третья жерлица ставится
[124.90s -> 126.90s]  Процесс ставится
[126.90s -> 128.90s]  Процесс легкий
[128.90s -> 130.90s]  Ех, не клянусь
[130.90s -> 132.90s]  Здесь глубина хорошая
[132.90s -> 134.90s]  А где хорошая глубина, там и хорошая щучка
[149.28s -> 152.72s]  Так, предъявляю
[152.72s -> 154.72s]  В природе
[154.72s -> 156.72s]  Мы расставили 20 жерлиц
[156.72s -> 158.72s]  А где рассвет? Все
[158.72s -> 160.72s]  Все стоит, давай слетай пожалуйста
[160.72s -> 162.72s]  Потому что нам нужно чтобы
[162.72s -> 164.72s]  Щука клевала
[164.72s -> 166.72s]  Я видел уже
[166.72s -> 168.72s]  Я слышал разговоры мужиков
[168.72s -> 170.72s]  Он поймал уже, вытащил
[170.72s -> 172.72s]  Но в темноте там флажков не видно
[172.72s -> 174.72s]  Уже у меня есть поплетки
[174.72s -> 176.72s]  Есть поплевки людей
[176.72s -> 178.72s]  Но как-то я вот так
[178.72s -> 180.72s]  Может не
[180.72s -> 182.72s]  Смотрите
[182.72s -> 184.72s]  Пока не видно
[186.72s -> 188.72s]  Ждем, короче по плану
[188.72s -> 190.72s]  Егор пошел за Максом
[190.72s -> 192.72s]  Они на самках привезут стол, казан, печку
[192.72s -> 194.72s]  Продукты
[194.72s -> 196.72s]  Мы начнем чай пить
[196.72s -> 198.72s]  Как только расцветет
[198.72s -> 200.72s]  Весь бардак разберем
[200.72s -> 202.72s]  То что в темноте наставили не видно
[202.72s -> 204.72s]  И еще щучки жерлиц
[204.72s -> 206.72s]  Вот здесь наставим несколько штук
[206.72s -> 208.72s]  Вот так вот
[208.72s -> 210.72s]  Ну
[210.72s -> 212.72s]  А вы следите
[212.72s -> 214.72s]  За
[214.72s -> 216.72s]  Следите за дальнейшими нашими действиями
[216.72s -> 218.72s]  И радуйтесь
[220.72s -> 257.18s]  Так у нас тут идет подготовка
[257.18s -> 259.18s]  К рубрике едим сал вместо Денисом Сундуковым
[259.18s -> 261.18s]  Параллельно
[261.18s -> 263.18s]  Нужно заварить чаек
[263.18s -> 265.18s]  Как раз я вам покажу как я завариваю
[265.18s -> 267.18s]  То есть вот просто я взял
[267.18s -> 269.18s]  Какие-то точки с собой
[269.18s -> 271.18s]  Отправляем туда
[271.18s -> 273.18s]  Я вот эту штуку прям отрываю
[273.18s -> 275.18s]  Отправляем туда один пакетик
[275.18s -> 277.18s]  И дальше
[277.18s -> 279.18s]  Поварить в моей жизни
[279.18s -> 281.18s]  Сахар
[281.18s -> 283.18s]  Отправляем туда
[283.18s -> 285.18s]  9 кубиков
[285.18s -> 287.18s]  Раз, два, три
[287.18s -> 289.18s]  Четыре
[289.18s -> 291.18s]  Пять, шесть
[291.18s -> 293.18s]  Семь
[293.18s -> 295.18s]  Не день, давайте семь
[295.18s -> 297.18s]  Термус новый, надо проверить
[297.18s -> 301.78s]  Сейчас берем
[301.78s -> 303.78s]  Закрываем, вот такой рецепт простой
[303.78s -> 305.78s]  Ничего сложного
[305.78s -> 309.86s]  Все ждем когда все настоится
[309.86s -> 311.86s]  Заварится
[311.86s -> 313.86s]  Если у вас вы оказались
[313.86s -> 315.86s]  В таких же условиях как я
[315.86s -> 317.86s]  То есть генерал Тарелкин
[317.86s -> 319.86s]  Нечем согреться, потому что чай у вас заварится
[319.86s -> 321.86s]  Он еще не вкусный
[321.86s -> 323.86s]  Специально для этого
[323.86s -> 325.86s]  Есть верхушечка
[325.86s -> 327.86s]  У термоса
